fatelk@live.com;  Angelica Hendrix; 119 San Carlos Road;    
josem@att.net  ;  Lilah George; Elk Grove Village, IL 60007;    
rmcfarla@live.com  ;  Addyson Collier;  758 Goldfield St.;  
ilikered@aol.com   ;  Zackary Saunders; Buford, GA 30518;   
emcleod@att.net;  Reynaldo Ramos;   9 Littleton St.;    
storerm@yahoo.ca   ;  Clayton Hampton;  Pueblo, CO 81001;   
jmgomez@optonline.net  ;  Cooper Myers; 10 El Dorado Circle;    
rattenbt@comcast.net   ;  Zion Lutz;    Ithaca, NY 14850;   
mschilli@outlook.com   ;  Alana Barrett;    9297 Wood Circle;   
solomon@sbcglobal.net  ;  Brianna Avila;    Windsor, CT 06095;  
luvirini@yahoo.com ;  June Barber;  538 N. Arcadia Lane;    
staikos@yahoo.com  ;  Rubi Escobar; Yakima, WA 98908;   
sagal@sbcglobal.net;  Tristan Griffin;  2 Deerfield Lane;   
gfody@live.com ;  Araceli Wilkins;  Zeeland, MI 49464;  
fwitness@outlook.com   ;  Tyshawn Farley;   55 N. Union Ave.;   
wsnyder@icloud.com ;  Mary Perry;   Plainview, NY 11803;    
munge@sbcglobal.net;  Ronan Carr;   857 W. Hawthorne St.;   
jbryan@outlook.com ;  Leland Downs; Georgetown, SC 29440;   
smpeters@hotmail.com   ;  Abraham Curry;    407 10th Street;    
haddawy@yahoo.ca   ;  Jasmine Conner;   Middle River, MD 21220; 
stakasa@msn.com;  Salvador Hartman; 8 Morris St.;   
richard@live.com   ;  Karla Simpson;    Taylor, MI 48180;   
credmond@verizon.net   ;  Daisy Shaffer;    85 Delaware Dr.;    
wsnyder@live.com   ;  Geovanni Noble;   Hudson, NH 03051;   
rbarreira@sbcglobal.net;  Case Salas;   7385 West Oakland St.;  
sblack@live.com;  Bentley Shelton;  Goose Creek, SC 29445;  
ghost@mac.com  ;  Fisher Acosta;    56 Tailwater Street;    
josem@aol.com  ;  Chaya Lin;    Goshen, IN 46526;   
podmaster@verizon.net  ;  Marissa Weeks;    8190 Briarwood Avenue;  
catalog@verizon.net;  Cassidy Sawyer;   North Bergen, NJ 07047; 
isotopian@optonline.net;  Aimee Lang;   9635 Queen Lane;    
vmalik@mac.com ;  Karter Wade;  Davison, MI 48423;  
ournews@msn.com;  Joslyn Davidson;  378 Manchester St.; 
gknauss@yahoo.com  ;  Elsa Mcknight;    Hendersonville, NC 28792;   
shaffei@comcast.net;  Amir Greer;   7719 Foster Street; 
aschmitz@sbcglobal.net ;  Jesus English;    Trumbull, CT 06611; 
phyruxus@icloud.com;  Erik Mcconnell;   8149 Griffin Court; 
sartak@aol.com ;  Shawn Fritz;  Apple Valley, CA 92307; 
louise@optonline.net   ;  Kali Santana; 15 Rockledge Drive; 
preneel@live.com   ;  Jaiden Sullivan;  Oakland Gardens, NY 11364;  
jginspace@yahoo.com;  Rolando Bates;    211 Wellington St.; 
cvrcek@yahoo.com   ;  Emerson Ayala;    Leominster, MA 01453;   
steve@me.com   ;  Riley Roy;    7287 Albany Drive;  
barnett@yahoo.com  ;  Mariana Cameron;  Chapel Hill, NC 27516;  
rattenbt@yahoo.ca  ;  Holden Bruce; 59 Mayflower Ave.;  
jgwang@mac.com ;  Lorelei Ingram;   South Lyon, MI 48178;   
zilla@verizon.net  ;  Sydney Cardenas;  9906 Lake View St.; 
mdielmann@verizon.net  ;  Madilynn Boyle;   San Pablo, CA 94806;    
dunstan@hotmail.com;  Charlotte Ibarra; 735 Pearl Street;   
duncand@yahoo.ca   ;  Kendrick Ramos;   Braintree, MA 02184;    
rande@hotmail.com  ;  Ean Coleman;  7412 College St.;   
heidrich@msn.com   ;  Jordan Norton;    Mount Holly, NJ 08060;  
drhyde@me.com  ;  Claire Lam;   9046 Argyle Drive;  
papathan@mac.com   ;  Kellen Randolph;  Mchenry, IL 60050;  
eurohack@gmail.com ;  Fiona Smith;  688 Foster Rd.; 
tbusch@me.com  ;  Janae Nguyen; Wadsworth, OH 44281;    
bartak@gmail.com   ;  Kaya Stanley; 8835 Valley View St.;   
blixem@att.net ;  Kobe Peck;    Stevens Point, WI 54481;    
squirrel@gmail.com ;  Emerson Perry;    361 Lake Court; 
fallorn@icloud.com ;  Izaiah Obrien;    Wellington, FL 33414;   
mgemmons@live.com  ;  Mira Sweeney; 8019 Fairway Road;  
ghost@msn.com  ;  Diana Mccullough; Atwater, CA 95301;  
malin@sbcglobal.net;  Shaniya Wiley;    8265 Stillwater St.;    
sjmuir@hotmail.com ;  Aydan Galvan; Evanston, IL 60201; 
rhialto@sbcglobal.net  ;  Ashtyn Bowen; 7748 NW. Purple Finch Avenue;   
bachmann@yahoo.com ;  Camren Francis;   Littleton, CO 80123;    
gemmell@verizon.net;  Tate Sweeney; 25 Elizabeth Ave.;  
isaacson@optonline.net ;  Valentina Gay;    Temple Hills, MD 20748; 
bmidd@comcast.net  ;  Drake Gay;    52 Leeton Ridge Lane;   
mgreen@comcast.net ;  Claire Santiago;  Newport News, VA 23601; 
kobayasi@me.com;  Jorden Bowman;    93 Applegate Street;    
lbecchi@live.com   ;  Jenny Ramsey; Navarre, FL 32566;  
redingtn@yahoo.com ;  Nancy Kidd;   648 South Swanson Dr.;  
fmtbebuck@aol.com  ;  Juan Martinez;    Midlothian, VA 23112;   
yenya@comcast.net  ;  Aydan Taylor; 208 Sherwood St.;   
pgolle@msn.com ;  Mckayla Ayala;    Glendora, CA 91740; 
bbirth@comcast.net ;  Wesley Wall;  8375 Cedar Swamp Ave.;  
kuparine@yahoo.ca  ;  Anabella Khan;    Altoona, PA 16601;  
smallpaul@comcast.net  ;  Victor Figueroa;  62 Cedar St.;   
ahmad@icloud.com   ;  Presley Cardenas; Des Plaines, IL 60016;  
bogjobber@sbcglobal.net;  Aisha Rice;   87 Oak Valley Ave.; 
eabrown@icloud.com ;  Lucy Hurst;   Naples, FL 34116;   
mglee@yahoo.ca ;  Messiah Cooper;   853 Cottage Ave.;   
cremonini@sbcglobal.net;  Gael Ryan;    Dacula, GA 30019;   
tamas@live.com ;  Dustin Rush;  867 Littleton Avenue;   
telbij@aol.com ;  Mason Bautista;   Lady Lake, FL 32159;    
helger@icloud.com  ;  Zander Galvan;    952 Delaware Avenue;    
jugalator@hotmail.com  ;  Serena Wolfe; Southgate, MI 48195;    
koudas@live.com;  Joanna Mendez;    500 Edgewood Dr.;   
hwestiii@yahoo.com ;  Adeline Beck; Hopkins, MN 55343;  
raines@icloud.com  ;  Pedro Molina; 504 Princess Circle;    
kalpol@sbcglobal.net   ;  Lia Hurley;   Newtown, PA 18940;  
galbra@aol.com ;  Cornelius Good;   987 Mill St.;   
sinkou@yahoo.com   ;  Valery Banks; Simpsonville, SC 29680; 
rhavyn@comcast.net ;  Yoselin Sandoval; 35 Adams St.;   
sethbrown@hotmail.com  ;  Anthony Leblanc;  Wooster, OH 44691;  
floxy@live.com ;  Hazel Gibbs;  161 South Lilac Lane;   
juliano@verizon.net;  Marianna Bell;    Farmington, MI 48331;   
scarlet@verizon.net;  Abigail Orr;  726 Bay Meadows Dr.;    
valdez@outlook.com ;  Jaden Phillips;   Champlin, MN 55316; 
